-79,-96,0,0,0,0,1
-78,-89,0,0,0,0,1
-71,-89,-96,0,0,0,1
-78,-93,0,0,0,0,1
-76,-99,0,0,0,0,1
-72,-93,0,0,0,0,1
-73,-87,0,0,0,0,1
-77,-99,0,0,0,0,1
-71,-89,0,0,0,0,1
-77,0,0,0,0,0,1
-77,-94,0,0,0,0,1
-71,0,0,0,0,0,1
-70,0,0,0,0,0,1
0,-95,0,0,0,0,1
-72,0,0,0,0,-100,1
-72,-94,0,0,0,0,1
-70,0,0,0,0,0,1
0,-94,0,0,0,0,1
-70,-91,0,0,0,0,1
-81,0,0,0,0,0,1
-71,-92,-94,0,0,0,1
-78,0,0,0,0,0,1
-71,-90,0,0,0,-94,1
-71,0,0,0,0,0,1
-76,0,0,0,0,0,1
-78,-93,0,0,0,0,1
-78,-91,0,0,0,0,1
-78,0,0,0,0,0,1
0,0,0,0,0,-97,1
-71,0,-98,0,0,0,1
-72,0,-95,0,0,0,1
-79,0,0,0,0,-98,1
-76,-93,0,0,0,-97,1
-72,0,0,0,0,-97,1
0,-94,-89,0,0,0,1
-71,0,-89,0,0,0,1
-73,0,0,0,0,0,1
-75,0,-93,0,0,-96,1
-71,-97,0,0,0,0,1
-80,-90,0,0,0,-99,1
-74,0,0,0,0,0,1
-72,0,0,0,0,0,1
0,0,-96,0,0,0,1
-69,0,-92,0,0,0,1
0,-100,0,0,0,0,1
-75,-92,0,0,0,-99,1
-70,0,0,0,0,0,1
0,-90,0,0,0,0,1
-76,0,0,0,0,0,1
-72,0,0,0,0,0,1
-70,-89,0,0,0,0,1
0,-98,0,0,0,-97,1
-71,-88,0,0,0,0,1
-73,-96,0,0,0,0,1
-74,-90,0,0,0,0,1
-75,0,0,0,0,0,1
-73,0,0,0,0,0,1
-70,-89,-93,0,0,0,1
-70,0,-93,0,0,0,1
-70,0,0,0,0,0,1
-77,-95,0,0,0,0,1
-70,0,-96,0,0,0,1
-75,0,0,0,0,0,1
-75,-95,-92,0,0,0,1
-75,-94,0,0,0,-96,1
-84,0,0,0,0,0,1
-75,0,0,0,0,0,1
-76,-92,0,0,0,0,1
-71,0,0,0,0,0,1
-72,0,0,0,0,0,1
-72,-93,0,0,0,0,1
-71,0,0,0,0,-99,1
-78,-88,0,0,0,0,1
-72,0,0,0,0,0,1
-70,-90,0,0,0,0,1
-76,-90,0,0,0,0,1
-71,0,0,0,0,0,1
-73,0,-96,0,0,0,1
-70,0,0,0,0,0,1
0,-98,0,0,0,0,1
-74,0,0,0,0,0,1
-70,0,0,0,0,0,1
-77,-91,0,0,0,0,1
-72,0,0,0,0,0,1
-76,0,0,0,0,0,1
0,0,-95,0,0,0,1
-71,-96,-94,0,0,0,1
-70,0,-92,0,0,0,1
-74,-95,-95,0,0,-95,1
-75,0,0,0,0,-97,1
-70,-93,0,0,0,0,1
-70,-89,-90,0,0,0,1
-74,-91,0,0,0,0,1
-69,-91,0,0,0,-97,1
-73,-90,0,0,0,0,1
-72,0,0,0,0,0,1
-71,0,0,0,0,-96,1
